x,underY,distance
3,41,37.03834152
3,42,36.17722702026367
3,43,35.26203155517578
3,44,34.337955474853516
3,45,33.30766677856445
3,46,32.24061584472656
3,47,31.131418228149414
3,48,30.039955139160156
3,49,28.985366821289062
3,50,27.89150619506836
3,51,26.795730590820312
3,52,25.728137969970703
3,53,24.70952606201172
3,54,23.75537872314453
3,55,22.87517547607422
3,56,22.07239532470703
3,57,21.31926155090332
3,58,20.634567260742188
3,59,19.989458084106445
3,60,19.351329803466797
3,61,18.782699584960938
3,62,18.218936920166016
3,63,17.656490325927734
3,64,17.095190048217773
3,65,16.534868240356445
3,66,15.99570083618164
3,67,15.458684921264648
3,68,14.929763793945312
3,69,14.44012451171875
3,70,13.953839302062988
3,71,13.467544555664062
3,72,12.995492935180664
3,73,12.533750534057617
3,74,12.115659713745117
3,75,11.703666687011719
3,76,11.303735733032227
3,77,10.921731948852539
3,78,10.566800117492676
3,79,10.211504936218262
3,80,9.855796813964844
3,81,9.49963665
3,82,9.142976760864258
3,83,8.785772323608398
3,84,8.427975655
3,85,8.069544792175293
3,86,7.710435390472412
3,87,7.350600719451904
3,88,6.98999548
3,89,6.628573417663574
3,90,6.266293525695801
3,91,5.903106689453125
3,92,5.538970470428467
3,93,5.1738386154174805
3,94,4.807664871
3,95,4.440405846
3,96,4.072017669677734
3,97,3.7024545669555664
3,98,3.331667900085449
3,99,2.9596171379089355
3,100,2.5862550735473633
3,101,2.211536407470703
3,102,1.8354183435440063
3,103,1.457853913
3,104,1.0787955522537231
3,105,0.6982060670852661
3,106,0.3160310983657837
3,107,-0.067768455
3,108,-0.453238845
3,109,-0.83244741
3,110,-1.193032146
3,111,-1.554358363
3,112,-1.916433215
3,113,-2.279285431
3,114,-2.6429286
3,115,-3.007381916
3,116,-3.372663975
3,117,-3.738791943
3,118,-4.10578537
3,119,-4.47366333
3,120,-4.842441559
4,0,3140.229492
4,1,2928.061035
4,2,2711.744384765625
4,3,2497.613525390625
4,4,2283.650634765625
4,5,2067.990966796875
4,6,1857.327880859375
4,7,1648.168701171875
4,8,1438.2144775390625
4,9,1256.683105
4,10,1133.9573974609375
4,11,996.8217773
4,12,806.8005981445312
4,13,606.5844727
4,14,379.3223876953125
4,15,169.51084899902344
4,16,97.93126678466797
4,17,95.3988266
4,18,92.85739899
4,19,90.43034362792969
4,20,88.18973541259766
4,21,86.02732086
4,22,83.91017914
4,23,81.79877471923828
4,24,79.74959564208984
4,25,77.80583953857422
4,26,75.65953063964844
4,27,73.60770416259766
4,28,71.76550293
4,29,69.29795074
4,30,65.16031646728516
4,31,60.53137969970703
4,32,57.04680252075195
4,33,54.51252746582031
4,34,51.28901672363281
4,35,47.891910552978516
4,36,44.37569046020508
4,37,41.91781234741211
4,38,40.28199387
4,39,38.80418777
4,40,37.735923767089844
4,41,36.872432708740234
4,42,35.986854553222656
4,43,35.04166030883789
4,44,34.09560012817383
4,45,33.03681564331055
4,46,31.917346954345703
4,47,30.804716110229492
4,48,29.707233428955078
4,49,28.638885498046875
4,50,27.534217834472656
4,51,26.43668556213379
4,52,25.38774871826172
4,53,24.371963500976562
4,54,23.419116973876953
4,55,22.569812774658203
4,56,21.79455566
4,57,21.059640884399414
4,58,20.39630699157715
4,59,19.76593017578125
4,60,19.174949645996094
4,61,18.60857391357422
4,62,18.04366111755371
4,63,17.480039596557617
4,64,16.917552947998047
4,65,16.37773323059082
4,66,15.839096069335938
4,67,15.330574035644531
4,68,14.824588775634766
4,69,14.330904960632324
4,70,13.843886375427246
4,71,13.360612869262695
4,72,12.898411750793457
4,73,12.439528465270996
4,74,12.033714294433594
4,75,11.634023666381836
4,76,11.246003150939941
4,77,10.869248390197754
4,78,10.51400089263916
4,79,10.158392906188965
4,80,9.802379608154297
4,81,9.445919036865234
4,82,9.088966369628906
4,83,8.731474876403809
4,84,8.373402596
4,85,8.014704704284668
4,86,7.655334473
4,87,7.2952494621276855
4,88,6.934408187866211
4,89,6.572758674621582
4,90,6.210262298583984
4,91,5.8468732833862305
4,92,5.482547760009766
4,93,5.117240905761719
4,94,4.750906944274902
4,95,4.383504390716553
4,96,4.014984130859375
4,97,3.645305633544922
4,98,3.2744226455688477
4,99,2.9022932052612305
4,100,2.528870105743408
4,101,2.154109001159668
4,102,1.777969479560852
4,103,1.4004007577896118
4,104,1.0213605165481567
4,105,0.6408101320266724
4,106,0.25869667530059814
4,107,-0.125018001
4,108,-0.495875716
4,109,-0.855691791
4,110,-1.216215491
4,111,-1.577464938
4,112,-1.93945682
4,113,-2.302214146
4,114,-2.665751457
4,115,-3.030086994
4,116,-3.395242214
4,117,-3.761229515
4,118,-4.128071308
4,119,-4.495782375
4,120,-4.864385605
5,0,3094.859619140625
5,1,2883.672119140625
5,2,2668.174560546875
5,3,2454.834473
5,4,2241.638916015625
5,5,2026.2596435546875
5,6,1816.684326171875
5,7,1608.0787353515625
5,8,1398.471435546875
5,9,1225.012451171875
5,10,1105.559082
5,11,958.0319213867188
5,12,772.1910400390625
5,13,562.6314697265625
5,14,335.9468078613281
5,15,132.77182006835938
5,16,97.37300872802734
5,17,94.82759857177734
5,18,92.28862762451172
5,19,89.89684295654297
5,20,87.64979553222656
5,21,85.49370574951172
5,22,83.38594055175781
5,23,81.27252197265625
5,24,79.25222015
5,25,77.24572754
5,26,75.07875824
5,27,73.15096282958984
5,28,71.14133453
5,29,68.21314239501953
5,30,63.59377670288086
5,31,59.151283264160156
5,32,56.56092071533203
5,33,53.76362228393555
5,34,50.426822662353516
5,35,46.93692398071289
5,36,43.73992919921875
5,37,41.61216735839844
5,38,40.01283645629883
5,39,38.58967208862305
5,40,37.572155
5,41,36.70651626586914
5,42,35.76636505126953
5,43,34.81428909301758
5,44,33.83055496
5,45,32.72767258
5,46,31.591869354248047
5,47,30.478015899658203
5,48,29.374513626098633
5,49,28.283248901367188
5,50,27.176931381225586
5,51,26.089900970458984
5,52,25.04735565185547
5,53,24.034400939941406
5,54,23.111162185668945
5,55,22.277896881103516
5,56,21.516719818115234
5,57,20.80886459350586
5,58,20.184619903564453
5,59,19.589229583740234
5,60,19.00196075439453
5,61,18.434452056884766
5,62,17.868383407592773
5,63,17.30377960205078
5,64,16.76256561279297
5,65,16.240400314331055
5,66,15.733071327209473
5,67,15.226106643676758
5,68,14.719414710998535
5,69,14.221686363220215
5,70,13.733932495117188
5,71,13.26417064666748
5,72,12.801490783691406
5,73,12.364409446716309
5,74,11.969867706298828
5,75,11.581745147705078
5,76,11.193398475646973
5,77,10.816767692565918
5,78,10.461202621459961
5,79,10.105281829833984
5,80,9.748963356018066
5,81,9.392201424
